restaurant_name,city,location,cuisine,cost_for_two,rating,restaurant_url,region
Veda,Delhi NCR,"Connaught Place (CP), Central Delhi",North Indian,₹2000,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/veda-connaught-place-cp-central-delhi-688728?deal_types[]=postpaid,North India
Cafe NH8,Delhi NCR,Radisson Gurugram Udyog Vihar,Italian,₹1600,4.4,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/cafe-nh8-radisson-gurugram-udyog-vihar-112879?deal_types[]=postpaid,North India
The Flavor Factory,Delhi NCR,"Connaught Place (CP), Central Delhi",South Indian,₹800,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/ds-dosa-factory-connaught-place-cp-central-delhi-701957?deal_types[]=postpaid,North India
Mount Fuji,Delhi NCR,"Connaught Place (CP), Central Delhi",Asian,₹1500,4.7,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/mount-fuji-connaught-place-cp-central-delhi-683500?deal_types[]=postpaid,North India
Atrium Deli,Delhi NCR,"Ramada Gurgaon Central, Gurgaon",Multicuisine,₹1600,3.9,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/cafe-rouge-ramada-gurgaon-central-sector-44-111493?deal_types[]=postpaid,North India
Chili's,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹1500,4.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/chilis-grill-bar-connaught-place-cp-central-delhi-652951?deal_types[]=postpaid,North India
Viva,Delhi NCR,Holiday Inn New Delhi International Airport,Multicuisine,₹2000,4.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/viva-holiday-inn-new-delhi-international-airport-igi-airport-111920?deal_types[]=postpaid,North India
Belisario,Delhi NCR,"Janpath, Central Delhi","European, Asian",₹3000,4.5,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/belisario-janpath-central-delhi-692501?deal_types[]=postpaid,North India
Barbeque Carnival,Gurgaon,"Sapphire 90 Mall, Sector 90, Gurgaon",Multicuisine,₹1600,4.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/barbeque-carnival-sector-90-gurgaon-709915?deal_types[]=postpaid,North India
Spectra,Gurgaon,"The Leela Ambience, Gurgaon",Multicuisine,₹5000,4.4,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/spectra-the-leela-ambience-ambience-mall-110441?deal_types[]=postpaid,North India
Kitchen District - Hyatt Regency Gurgaon,Gurgaon,"Hyatt Regency, Gurgaon",Multicuisine,₹2400,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/kitchen-district-hyatt-regency-sector-83-116086?deal_types[]=postpaid,North India
Atrium Deli,Gurgaon,"Ramada Gurgaon Central, Gurgaon",Multicuisine,₹1600,3.9,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/cafe-rouge-ramada-gurgaon-central-sector-44-111493?deal_types[]=postpaid,North India
The Food Store,Gurgaon,"DoubleTree by Hilton, Gurgaon",Multicuisine,₹3000,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/food-store-double-tree-by-hilton-sector-56-112399?deal_types[]=postpaid,North India
Cafe NH8,Gurgaon,Radisson Gurugram Udyog Vihar,Italian,₹1600,4.4,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/cafe-nh8-radisson-gurugram-udyog-vihar-112879?deal_types[]=postpaid,North India
Mustard Madras,Gurgaon,"Cyber Hub, Gurgaon",South Indian,₹1500,4.5,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/mustard-madras-cyber-hub-gurgaon-701066?deal_types[]=postpaid,North India
Zambar,Gurgaon,"Ambience Mall, Gurgaon",South Indian,₹1500,4.5,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/zambar-ambience-mall-gurgaon-110624?deal_types[]=postpaid,North India
Cyber Hub Social,Gurgaon,"Cyber Hub, Gurgaon","Cocktail Menu, Multicuisine",₹1300,4.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/cyber-hub-social-cyber-hub-gurgaon-613727?deal_types[]=postpaid,North India
Fat Lulu’s,Gurgaon,"Galleria Market, Gurgaon",Multicuisine,₹1500,4.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/fat-lulus-galleria-market-gurgaon-706085?deal_types[]=postpaid,North India
Barista,Gurgaon,"Sector 90, Gurgaon",Cafe,₹600,4.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/barista-sector-90-gurgaon-699050,North India
Themis Barbecue House,Gurgaon,"Ambience Mall, Gurgaon",Multicuisine,₹1200,3.9,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/themis-barbecue-house-the-leela-ambience-gurgaon-702591?deal_types[]=postpaid,North India
YouMee,Gurgaon,"Airia Mall, Sector 68, Gurgaon",Asian,₹1500,4.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/youmee-airia-mall-sector-68-gurgaon-692784?deal_types[]=postpaid,North India
Zoca Cafe,Gurgaon,"Sector 37, Gurgaon","Indian, Italian",₹1000,4.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/zoca-cafe-sector-37-gurgaon-707366?deal_types[]=postpaid,North India
Coco Café By Cococart,Gurgaon,"Cyber Hub, Gurgaon",Cafe,₹800,3.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/coco-cafe-by-cococart-cyber-hub-gurgaon-702425?deal_types[]=postpaid,North India
Bella Vino,Gurgaon,"AIPL Joy Central, Sector 65, Gurgaon",Multicuisine,₹1200,2.7,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/bella-vino-aipl-joy-central-sector-65-gurgaon-706972?deal_types[]=postpaid,North India
Brewocrat - Brewery Skybar & Kitchen,Gurgaon,"South City 2, Gurgaon","Cocktail Menu, Multicuisine",₹2000,4.5,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/brewocrat-brewery-skybar-kitchen-south-city-2-gurgaon-662828?deal_types[]=postpaid,North India
COCCO N CURRY,Gurgaon,"Sapphire 90 Mall, Sector 90, Gurgaon",Multicuisine,₹1000,5.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/cocco-n-curry-sapphire-90-mall-sector-90-gurgaon-709146?deal_types[]=postpaid,North India
